Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,Region,District,SPECIFIC LOCATION,RURAL/URBAN         ,Status,DURATION,Start Date,End Date
342 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Bari,Qardho,Qardho/Xiingood,,Ongoing,,01-Nov-18,30-Sep-19
343 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Bari,Qardho,Qardho/Kubo,,Ongoing,,01-Nov-18,30-Sep-19
344 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Bari,Iskushuban,Dharjaale,,Ongoing,,01-Nov-18,30-Sep-19
345 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Bari,Iskushuban,Xiriiro,,Ongoing,,01-Nov-18,30-Sep-19
346 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Bari,Qardho,Meygaag,,Ongoing,,01-Nov-18,30-Sep-19
347 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Bari,Qardho,Xumbays,,Ongoing,,01-Nov-18,30-Sep-19
348 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Nugaal,Eyl,Godob Addon,,Ongoing,,01-Nov-18,30-Sep-19
349 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Nugaal,Eyl,Godob Addon,,Ongoing,,01-Nov-18,30-Sep-19
350 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Mudug,Jariiban,Semade,,Ongoing,,01-Nov-18,30-Sep-19
351 Apr - 19 Apr 2019,CARE,OFDA,WASH,Community Led Total Sanitation (CLTS),CARE,Mudug,Jariiban,Balli Hagagari,,Ongoing,,01-Nov-18,30-Sep-19
352 Apr - 19 Apr 2019,CARE,OFDA,WASH,Shallow well REHAB,CARE,Mudug,Jariiban,Dhinawda Dhigdhigley,,Planned,,01-Feb-19,01-Jun-19
353 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Mudug,Jariiban,Gadobjiran,,Planned,,01-Feb-19,01-Jun-19
354 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Mudug,Jariiban,Jariiban,,Planned,,01-Feb-19,01-Jun-19
355 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Mudug,Jariiban,Jariiban,,Planned,,01-Feb-19,01-Jun-19
356 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Mudug,Jariiban,Garcad,,Planned,,01-Feb-19,01-Jun-19
357 Apr - 19 Apr 2019,CARE,OFDA,WASH,Shallow well REHAB,CARE,Nugaal,Eyl,Jifle,,Planned,,01-Feb-19,01-Jun-19
358 Apr - 19 Apr 2019,CARE,OFDA,WASH,Shallow well REHAB,CARE,Nugaal,Eyl,Maraya,,Planned,,01-Feb-19,01-Jun-19
359 Apr - 19 Apr 2019,CARE,OFDA,WASH,Shallow well REHAB,CARE,Nugaal,Eyl,Kabaalwaq,,Planned,,01-Feb-19,01-Jun-19
360 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Sanaag,Ceerigaabo,Damale Xagare,,Ongoing,,30-Dec-18,18-Mar-19
361 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Sanaag,Ceerigaabo,Ceerigaabo,,Ongoing,,30-Dec-18,18-Mar-19
362 Apr - 19 Apr 2019,CARE,OFDA,WASH,Shallow well REHAB,CARE,Sanaag,Ceel Afweyn,Dariyar,,Ongoing,,30-Dec-18,18-Mar-19
363 Apr - 19 Apr 2019,CARE,OFDA,WASH,Shallow well REHAB,CARE,Sanaag,Ceel Afweyn,Ceel Afweyn,,Ongoing,,30-Dec-18,18-Mar-19
364 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Sool,Laas Caanood,Laas Caanood,,Ongoing,,30-Dec-18,22-Mar-19
365 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Togdheer,Burco,Coodanle,,Ongoing,,30-Dec-18,10-Mar-19
366 Apr - 19 Apr 2019,CARE,OFDA,WASH,Borehole REHAB,CARE,Togdheer,Buuhoodle,Qorilugud,,Ongoing,,30-Dec-18,24-Mar-19
367 Apr - 19 Apr 2019,CARE,OFDA,WASH,Shallow well REHAB,CARE,Sool,Xudun,Xudun,,Ongoing,,30-Dec-18,26-Mar-19
368 Apr - 19 Apr 2019,CRS,OFDA,WASH,Water point/tap -NEW,SSWC,Lower Shabelle,Afgooye,Siinka Dheer,,Ongoing,,1st Jan 2019,31st dec 2019
369 Apr - 19 Apr 2019,CRS,OFDA,WASH,Hygiene promotion - household visits,SSWC,Lower Shabelle,Afgooye,Siinka Dheer,,Ongoing,,1st Jan 2019,31st dec 2019
370 Apr - 19 Apr 2019,LRDO,Diaspora,WASH,HHWT - Chlorine or Chrolo flocc products,LRDO,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,27/01/19,29/01/19
371 Apr - 19 Apr 2019,DKH,Other,WASH,Sand dam Construction,CPD,Mudug,Hobyo,Wisil (Armaale 1),,Completed,,24th Nov 18,19th Jan 19
372 Apr - 19 Apr 2019,DKH,Other,WASH,Sand dam Construction,CPD,Mudug,Hobyo,Wisil (Aramaale 2),,Completed,,24th Nov 18,19th Jan 19
373 Apr - 19 Apr 2019,DKH,Other,WASH,Sand dam Construction,CPD,Mudug,Hobyo,Gawaan (Sarmaan),,Completed,,24th Nov 18,19th Jan 19
374 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,Shabellow,,Completed,,04-Jun-18,04-Jan-19
375 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,lebow,,Completed,,04-Jun-18,04-Jan-19
376 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,Bacad,,Completed,,04-Jun-18,04-Jan-19
377 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,sigalow,,Completed,,04-Jun-18,04-Jan-19
378 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,dharkeyta,,Completed,,04-Jun-18,04-Jan-19
379 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,Gabarlawe ,,Completed,,04-Jun-18,04-Jan-19
380 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,Quracleey ,,Completed,,04-Jun-18,04-Jan-19
381 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,Doonkooy ,,Completed,,04-Jun-18,04-Jan-19
382 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Hiraan,Belet Weyne,Leebow - NB-3815-E05-005,,Completed,,04-Jun-18,04-Jan-19
383 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,Water Supply System O & M,WARDI,Hiraan,Belet Weyne,Bacaad,,Completed,,04-Jun-18,04-Jan-19
385 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,Water Supply System O & M,WARDI,Banadir,Hamar Jabjab,"General Daud ,EX unicef ,Sneygab ,Ansaloti ,Danyar ",,Completed,,04-Jun-18,04-Jan-19
386 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,Hygiene session/ promotion - Health Centre,WARDI,Banadir,Hamar Jabjab,"General Daud ,EX unicef ,Sneygab ,Ansaloti ,Danyar ",,Completed,,04-Jun-18,04-Jan-19
387 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,Hygiene promotion - household visits,WARDI,Banadir,Hamar Jabjab,"General Daud ,EX unicef ,Sneygab ,Ansaloti ,Danyar ",,Completed,,04-Jun-18,04-Jan-19
388 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,water Supply System O & M,WARDI,Banadir,Dharkenley,"Dabadey ,El Ali ,Gcanlibax and Jamame",,Completed,,04-Jun-18,04-Jan-19
389 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,Hygiene session/ promotion - Health Centre,WARDI,Banadir,Dharkenley,"Dabadey ,El Ali ,Gcanlibax and Jamame",,Completed,,04-Jun-18,04-Jan-19
390 Apr - 19 Apr 2019,IOM,Agency Own Fund,WASH,Hygiene promotion - household visits,WARDI,Banadir,Dharkenley,"Dabadey ,El Ali ,Gcanlibax and Jamame",,Completed,,04-Jun-18,04-Jan-19
391 Apr - 19 Apr 2019,IOM ,Agency Own Fund,WASH,Hygiene promotion - household visits,WARDI,Hiraan,Belet Weyne,Bacad,,Ongoing,,04-Jun-18,04-Jan-19
392 Apr - 19 Apr 2019,IRC,OFDA,WASH,Water reservoir/tank,IRC,Mudug,Gaalkacyo,Har-haar IDP,,Completed,,23-Dec-08,10-Jan-19
393 Apr - 19 Apr 2019,IRC,OFDA,WASH,Pipe NEW,IRC,Mudug,Gaalkacyo,Har-haar IDP,,Completed,,23-Dec-08,10-Jan-19
394 Apr - 19 Apr 2019,IRC,OFDA,WASH,Hygiene promotion - household visits,IRC,Mudug,Gaalkacyo,Faarax Geedi,,Completed,,01-Jan-19,24-Jan-19
395 Apr - 19 Apr 2019,IRC,OFDA,WASH,Hygiene session/ promotion - Nutrition Centre,IRC,Mudug,Gaalkacyo,Har-haar IDP,,Completed,,08-Jan-19,08-Jan-19
396 Apr - 19 Apr 2019,IRC,OFDA,WASH,Hygiene session/ promotion - Nutrition Centre,IRC,Mudug,Gaalkacyo,Faarax Geedi,,Completed,,08-Jan-19,08-Jan-19
397 Apr - 19 Apr 2019,IRC,OFDA,WASH,Borehole REHAB,IRC,Mudug,Gaalkacyo,Har-haar IDP,,Ongoing,,22-Jan-19,22-Feb-19
398 Apr - 19 Apr 2019,IRC,OFDA,WASH,Borehole REHAB,IRC,Mudug,Gaalkacyo,Faarax Geedi,,Ongoing,,23-Jan-19,23-Feb-19
399 Apr - 19 Apr 2019,Mercy Corps,OFDA,WASH,latrines new,NARDO,Gedo,Ceel Waaq,Bakol Diga,,Ongoing,,11-Jan-19,28-Feb-19
400 Apr - 19 Apr 2019,Mercy Corps,OFDA,WASH,latrines new,NARDO,Gedo,Ceel Waaq,Dabarbale,,Ongoing,,11-Jan-19,28-Feb-19
401 Apr - 19 Apr 2019,Mercy Corps,OFDA,WASH,shallow well rehab,NARDO,Gedo,Baardheere,Hurena,,Completed,,01-Nov-18,30-Nov-18
402 Apr - 19 Apr 2019,Mercy Corps,OFDA,WASH,latrines new,NARDO,Gedo,Luuq,Jazeero,,Ongoing,,27-Jan-19,28-Feb-19
403 Apr - 19 Apr 2019,Mercy Corps,OFDA,WASH,Latrine Communal New,NARDO,Gedo,Doolow,maskinow,,Ongoing,,27-Jan-19,28-Feb-19
404 Apr - 19 Apr 2019,NEW WAYS,Emergency Reserve,WASH,Hygiene promotion - household visits,NEW WAYS,Lower Shabelle,Kurtunwaarey,Kurtunwaarey,,Ongoing,,"1,MAY , 2018",30-May-19
405 Apr - 19 Apr 2019,NEW WAYS,Emergency Reserve,WASH,Hygiene promotion - household visits,NEW WAYS,Lower Shabelle,Marka,Marka,,Ongoing,,"1,MAY , 2018",30-May-19
406 Apr - 19 Apr 2019,NEW WAYS,Emergency Reserve,WASH,Hygiene promotion - household visits,NEW WAYS,Lower Shabelle,Qoryooley,Qoryooley,,Ongoing,,"1,MAY , 2018",30-May-19
407 Apr - 19 Apr 2019,NEW WAYS,Emergency Reserve,WASH,Hygiene promotion - household visits,NEW WAYS,Lower Shabelle,Marka,Shalaambood,,Ongoing,,"1,MAY  , 2018",30-May-19
408 Apr - 19 Apr 2019,NEW WAYS,Emergency Reserve,WASH,Water source chlorination,NEW WAYS,Lower Shabelle,Kurtunwaarey,Kurtunwaarey,,Ongoing,,"1,MAY  , 2018",30-May-19
409 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,,,Ongoing,,01-Apr-17,31-Jan-19
410 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,Raqeyle,,Ongoing,,01-Apr-17,31-Jan-19
411 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,Sagaalaad,,Ongoing,,01-Apr-17,31-Jan-19
412 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,Gaalware,,Ongoing,,01-Apr-17,31-Jan-19
413 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,,,Ongoing,,01-Apr-17,31-Jan-19
414 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,Jambaluul,,Ongoing,,01-Apr-17,31-Jan-19
415 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,Mareerey,,Ongoing,,01-Apr-17,31-Jan-19
416 Apr - 19 Apr 2019,IOM,Other,WASH,Water source chlorination,SDRO,Lower Shabelle,Afgooye,,,Ongoing,,01-Apr-17,31-Jan-19
417 Apr - 19 Apr 2019,IOM,Other,WASH,Hygiene promotion - household visits,SDRO,Lower Shabelle,Afgooye,,,Ongoing,,01-Apr-17,31-Jan-19
418 Apr - 19 Apr 2019,IOM,Other,WASH,Hygiene promotion - household visits,SDRO,Lower Shabelle,Afgooye,Raqeyle,,Ongoing,,01-Apr-17,31-Jan-19
419 Apr - 19 Apr 2019,IOM,Other,WASH,Hygiene promotion - household visits,SDRO,Lower Shabelle,Afgooye,Sagaalaad,,Ongoing,,01-Apr-17,31-Jan-19
420 Apr - 19 Apr 2019,NEW WAYS,Emergency Reserve,WASH,Water source chlorination,NEW WAYS,Lower Shabelle,Qoryooley,Qoryooley,,Ongoing,,"1,MAY  , 2018",30-May-19
421 Apr - 19 Apr 2019,PAH,UNICEF,WASH,Shallow well REHAB,PAH,Banadir,Heliwa,Mogadishu/Heliwa,,Ongoing,,01-Jan-19,31.01.2019
422 Apr - 19 Apr 2019,PAH,UNICEF,WASH,Shallow well REHAB,PAH,Banadir,Shibis,Mogadishu/Shibis,,Ongoing,,01-Jan-19,31.01.2019
423 Apr - 19 Apr 2019,PAH,UNICEF,WASH,Water reservoir/tank,PAH,Banadir,Heliwa,Mogadishu/Heliwa,,Ongoing,,01-Jan-19,31.01.2019
424 Apr - 19 Apr 2019,PAH,UNICEF,WASH,Hygiene Promoters,PAH,Banadir,Wadajir,Mogadishu/Wadajir,,Planned,,01-Jan-19,31.01.2019
425 Apr - 19 Apr 2019,PAH,ECHO,WASH,Hygiene promotion - household visits,PAH,Middle Shabelle,Jowhar,Jowhar,,Completed,,01-Jan-19,30.01.2019
426 Apr - 19 Apr 2019,PAH,ECHO,WASH,Soap distribution,PAH,Middle Shabelle,Jowhar,Jowhar,,Completed,,01-Jan-19,30.01.2019
427 Apr - 19 Apr 2019,PAH,ECHO,WASH,Hygiene promotion - household visits,PAH,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,01-Jan-19,30.01.2019
428 Apr - 19 Apr 2019,PAH,ECHO,WASH,Water access by voucher,PAH,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,01-Jan-19,30.01.2019
429 Apr - 19 Apr 2019,PAH,ECHO,WASH,Water access by voucher,PAH,Banadir,Deyniile,Mogadishu/Daynile,,Completed,,01-Jan-19,30.01.2019
430 Apr - 19 Apr 2019,PAH,ECHO,WASH,Hygiene promotion - household visits,PAH,Banadir,Deyniile,Mogadishu/Daynile,,Completed,,01-Jan-19,30.01.2019
431 Apr - 19 Apr 2019,PAH,ECHO,WASH,Latrine NEW-IDP,PAH,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,01-Jan-19,30.01.2019
432 Apr - 19 Apr 2019,PAH,ECHO,WASH,Latrine NEW-IDP,PAH,Banadir,Deyniile,Mogadishu/Daynile,,Completed,,01-Jan-19,30.01.2019
433 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Water access by voucher,PAH,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Ongoing,,01-Jan-19,30.01.2019
434 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Water Kiosk-New,PAH,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,01-Jan-19,30.01.2019
435 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Water access by voucher,PAH,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01-Jan-19,30.01.2019
436 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Water Kiosk-New,PAH,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01-Jan-19,30.01.2019
437 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Latrine NEW-IDP,PAH,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01-Jan-19,30.01.2019
438 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Sanitary napkin distribution,PAH,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01-Jan-19,30.01.2019
439 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Sanitation tools ,PAH,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01-Jan-19,30.01.2019
440 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Hygiene promotion - household visits,PAH,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,01-Jan-19,30.01.2019
441 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Water access by voucher,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
442 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Water Kiosk-New,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
443 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Water Kiosk-New,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
444 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Latrine NEW-IDP,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
445 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Latrine NEW-IDP,PAH,Galgaduud,Cadaado,Baxdo,,Completed,,01-Jan-19,30.01.2019
446 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Sanitation tools ,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
447 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Hygiene session/ promotion - Health Centre,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
448 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Sanitary napkin distribution,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
449 Apr - 19 Apr 2019,PAH,Arche Nova,WASH,Sanitary napkin distribution,PAH,Galgaduud,Cadaado,Cadaado,,Completed,,01-Jan-19,30.01.2019
450 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene Kit Distribution,READO,BAY,Baydhaba,Lowiley,,Planned,,15-Feb-19,15-Feb-19
451 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene Kit Distribution,READO,BAY,Baydhaba,Aawdiinle,,Planned,,15-Feb-19,15-Feb-19
452 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene Kit Distribution,READO,BAY,Baydhaba,Boonka,,Planned,,15-Feb-19,15-Feb-19
453 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene Kit Distribution,READO,BAY,Baydhaba,Misgaale,,Planned,,15-Feb-19,15-Feb-19
454 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene Kit Distribution,READO,BAY,Baydhaba,Lanbuule,,Planned,,15-Feb-19,15-Feb-19
455 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene Kit Distribution,READO,BAY,Baydhaba,Geldheere,,Planned,,15-Feb-19,15-Feb-19
456 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene Kit Distribution,READO,BAY,Baydhaba,Munaawir,,Planned,,15-Feb-19,15-Feb-19
457 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene promotion - household visits,READO,BAY,Baydhaba,Aawdiinle,,Ongoing,,30-Jun-18,28-Feb-19
458 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene promotion - household visits,READO,BAY,Baydhaba,Boonka,,Ongoing,,30-Jun-18,28-Feb-19
459 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene promotion - household visits,READO,BAY,Baydhaba,Geldheere,,Ongoing,,30-Jun-18,28-Feb-19
460 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene promotion - household visits,READO,BAY,Baydhaba,Lowiley,,Ongoing,,30-Jun-18,28-Feb-19
461 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene promotion - household visits,READO,BAY,Baydhaba,Misgaale,,Ongoing,,30-Jun-18,28-Feb-19
462 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene promotion - household visits,READO,BAY,Baydhaba,Laan Buule,,Ongoing,,30-Jun-18,28-Feb-19
463 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Hygiene promotion - household visits,READO,BAY,Baydhaba,Munaawir,,Ongoing,,30-Jun-18,28-Feb-19
464 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Water trucking,READO,BAY,Baydhaba,Aawdiinle,,Ongoing,,01-Aug-18,28-Feb-19
465 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Water trucking,READO,BAY,Baydhaba,Mursal,,Ongoing,,01-Aug-18,28-Feb-19
466 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Water trucking,READO,BAY,Baydhaba,Isha,,Ongoing,,01-Aug-18,28-Feb-19
467 Apr - 19 Apr 2019,SHF,SHF-First allocation,WASH,Water trucking,READO,BAY,Baydhaba,Lawiilay,,Ongoing,,01-Aug-18,28-Feb-19
468 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Latrine Communal New,SCC,Middle Shabelle,Jowhar,Banaaney,,Completed,,,23-Jan-19
469 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Shallow well REHAB,SCC,Middle Shabelle,Jowhar,Banaaney,,Completed,,,28-Jan-19
470 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Latrine Communal New,SCC,Middle Shabelle,Jowhar,Barey,,Completed,,,28-Jan-19
471 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Latrine NEW-IDP,SCC,Middle Shabelle,Jowhar,Jowhar,,Completed,,,12-Jan-19
472 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Shallow well REHAB,SCC,Middle Shabelle,Jowhar,Jowhar,,Completed,,,30-Jan-19
473 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Latrine Communal New,SCC,Middle Shabelle,Jowhar,Jowhar,,Completed,,,18-Jan-19
474 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Hygiene promotion - household visits,SCC,Middle Shabelle,Jowhar,Jowhar,,Completed,,,30-Jan-19
475 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Latrine Communal New,SCC,Middle Shabelle,Jowhar,Barey,,Completed,,,28-Jan-19
476 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Latrine Communal New,SCC,Middle Shabelle,Jowhar,Kalundi,,Completed,,,21-Jan-19
477 Apr - 19 Apr 2019,SHF,SHF-Second allocation,WASH,Hygiene promotion - household visits,SCC,Middle Shabelle,Jowhar,Banaaney,,Completed,,,28-Jan-19
478 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Shallow well REHAB,WARDI,Hiraan,Belet Weyne,Belet Weyne,,Completed,,30/04/18,20/01/19
479 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Latrine NEW-IDP,WARDI,Hiraan,Belet Weyne,Belet Weyne,,Completed,,30/04/18,20/01/19
480 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,WASH Committees,WARDI,Hiraan,Belet Weyne,Belet Weyne,,Completed,,30/04/18,20/01/19
481 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Hygiene promotion - household visits,WARDI ,Hiraan,Belet Weyne,Belet Weyne,,Completed,,30/04/18,20/01/19
482 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Shallow well NEW,WARDI ,Lower Shabelle,Marka,Ceel-Jaale,,Completed,,31/05/18,05-Feb-19
483 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Water trucking,WARDI,Lower Shabelle,Marka,Bufuow-Cosbooley,,Completed,,31/05/18,05-Feb-19
484 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Water trucking,WARDI,Lower Shabelle,Marka,Cusman Qule,,Completed,,31/05/18,05-Feb-19
485 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Latrine NEW-IDP,WARDI,Lower Shabelle,Marka,Cusman Qule,,Completed,,31/05/18,05-Feb-19
486 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Latrine NEW-IDP,WARDI,Lower Shabelle,Marka,Bufuow-Cosbooley,,Completed,,31/05/18,05-Feb-19
487 Apr - 19 Apr 2019,SHF ,SHF-First allocation,WASH,Hygiene promotion - household visits,WARDI ,Lower Shabelle,Marka,Bufuow-Cosbooley,,Ongoing,,31/05/18,05-Feb-19
488 Apr - 19 Apr 2019,Trocaire,Other,WASH,Water source chlorination,Trocaire,Gedo,Doolow,Doolow,,Ongoing,,01-Aug-17,01-Feb-19
489 Apr - 19 Apr 2019,Trocaire,Other,WASH,Water source chlorination,Trocaire,Gedo,Luuq,luuq,,Ongoing,,01-Aug-17,01-Feb-19
490 Apr - 19 Apr 2019,Trocaire,Other,WASH,Water source chlorination,Trocaire,Gedo,Belet Xaawo,Belet Xaawo,,Ongoing,,01-Aug-17,01-Feb-19
491 Apr - 19 Apr 2019,Trocaire,Other,WASH,Water source chlorination,Trocaire,Gedo,Doolow,Doolow,,Ongoing,,01-Mar-18,28-Feb-19
492 Apr - 19 Apr 2019,Trocaire,Other,WASH,Hygiene promotion - household visits,Trocaire,Gedo,Luuq,luuq,,Ongoing,,01-Mar-18,28-Feb-19
493 Apr - 19 Apr 2019,Trocaire,Other,WASH,Water source chlorination,Trocaire,Gedo,Luuq,luuq,,Ongoing,,01-Mar-18,28-Feb-19
494 Apr - 19 Apr 2019,Trocaire,Other,WASH,Water source chlorination,Trocaire,Gedo,Belet Xaawo,Belet Xaawo,,Ongoing,,01-Mar-18,28-Feb-19
495 Apr - 19 Apr 2019,Trocaire,Other,WASH,Hygiene promotion - household visits,Trocaire,Gedo,Belet Xaawo,Belet Xaawo,,Ongoing,,01-Mar-18,01-Feb-19
496 Apr - 19 Apr 2019,Trocaire,Other,WASH,Water source chlorination,Trocaire,Gedo,Luuq,luuq,,Ongoing,,01-Mar-18,28-Feb-19
