Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,Implementing Partners,Region,District,SPECIFIC LOCATION ,RURAL/URBAN         ,Status,DURATION,Start Date,End Date,Y_COORD,X_COORD
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,10/1/2018,10/31/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,10/1/2018,10/31/2018,2.048031,45.32
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,10/1/2018,10/31/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,10/1/2018,10/31/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,10/1/2018,10/31/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan ,Hodan,,Completed,,10/1/2018,10/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan ,Hodan,,Completed,,10/1/2018,10/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan ,Hodan,,Completed,,10/10/2018,10/31/2018,2.043926,45.3
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,10/1/2018,10/31/2018,2.04045,45.36
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,10/1/2018,10/31/2018,2.04555,45.34
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Waaberi,Waaberi,,Completed,,10/1/2018,10/31/2018,2.019514,45.31
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,10/1/2018,10/31/2018,2.048031,45.32
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,10/1/2018,10/31/2018,2.04045,45.36
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,10/1/2018,10/31/2018,2.04555,45.34
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,10/1/2018,10/31/2018,2.019514,45.31
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,10/1/2018,10/31/2018,2.048031,45.32
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,10/1/2018,10/31/2018,2.04045,45.36
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Alanley IDP,,Completed,,10/1/2018,10/31/2018,7.14624,47.65646
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Alanley IDP,,Completed,,10/1/2018,10/31/2018,7.14624,47.65646
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Galgaduud,Cabudwaaq,Abutwaq,,Completed,,10/1/2018,10/31/2018,2.87266,43.88767
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Mudug,Hobyo,Hobyo,,Completed,,10/1/2018,10/31/2018,6.084725,48.390268
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Mudug,Hobyo,Hobyo,,Completed,,10/1/2018,10/31/2018,6.084725,48.390268
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Galgaduud,Cabudwaaq,Cabudwaaq,,Completed,,10/1/2018,10/31/2018,6.32658,46.41737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,10/1/2018,10/31/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Alanley IDP,,Completed,,11/1/2018,11/30/2018,7.14624,47.65646
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Buro Bisharo IDP,,Completed,,11/1/2018,11/30/2018,6.765,47.43164
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Alanley IDP,,Completed,,11/1/2018,11/30/2018,7.14624,47.65646
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Buro Bisharo IDP,,Completed,,11/1/2018,11/30/2018,6.765,47.43164
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Galgaduud,Cabudwaaq,Abutwaq,,Completed,,11/1/2018,11/30/2018,2.87266,43.88767
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Mudug,Hobyo,Hobyo,,Completed,,11/1/2018,11/30/2018,6.084725,48.390268
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Mudug,Hobyo,Bacadwayn,,Completed,,11/1/2018,11/30/2018,5.3506,47.921101
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Galgaduud,Cabudwaaq,aButwaq,,Completed,,11/1/2018,11/30/2018,2.87266,43.88767
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,EU,Education,Other- please specify,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
